id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
97725,98036,188512,7602,Gl 771A,60Bet Aql,Alshain,19.921887,6.406763,13.6986,46.35,-481.32,-40.7,3.71,3.027,G8IVvar,0.855,6.563854,-11.925647,1.528534,-0.00001553,0.0000346,-0.00003641,5.215537811,0.111819116,2.25E-07,-2.33E-06,Bet,60,Aql,1,97725,Gl 771,5.360434578,,,
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772106,0.154781417,2.60E-06,1.87E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753
35806,35904,58350,2827,,31Eta CMa,Aludra,7.401584,-29.303104,609.7561,-3.76,6.66,41,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-0.0000062,0.00004711,-0.00000336,1.937730188,-0.511435637,-1.82E-08,3.23E-08,Eta,31,CMa,1,35806,,33915.63869,Eta,2.509,2.409
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.114682903,-0.738378669,1.13E-06,-1.71E-06,Alp,,Phe,1,2076,,64.44659847,,,
80519,80763,148478,6134,,21Alp Sco,Antares,16.490128,-26.432002,169.7793,-10.16,-23.21,-3,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466,-0.461325471,-4.93E-08,-1.13E-07,Alp,21,Sco,1,80519,,9453.66046,Alp,1.155,0.995
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.733529029,0.334796218,-5.30E-06,-9.69E-06,Alp,16,Boo,1,69451,,115.5579955,,,
25920,25985,36673,1865,,11Alp Lep,Arneb,5.545504,-17.822289,680.2721,3.27,1.54,24,2.58,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208,-0.00000775,0.00002603,-0.00000268,1.451809652,-0.311057615,1.59E-08,7.47E-09,Alp,11,Lep,1,25920,,37428.29122,,,
82022,82273,150798,6217,,Alp TrA,Atria,16.811077,-69.027715,119.7605,17.85,-32.92,-3,1.91,-3.482,K2IIb-IIIa,1.447,-13.127447,-40.804561,-111.826781,0.00001567,0.00001486,-0.00000398,4.401129586,-1.204760901,8.65E-08,-1.60E-07,Alp,,TrA,1,82022,,2151.79057,,,
40921,41037,71129,3307,,Eps Car,Avior,8.375236,-59.509483,185.5288,-25.34,22.72,2,1.86,-4.482,K3III+B2V,1.196,-54.83708,76.515238,-159.872623,0.00000766,0.00002843,0.00000861,2.192631676,-1.038636414,-1.23E-07,1.10E-07,Eps,,Car,1,40921,,5405.053537,,,
111893,112247,215441,,,,Babcock's star,22.735418,55.589226,100000,4.96,-0.98,0,8.83,-11.17,A0p,0.031,53443.38342,-18369.41072,82500.72435,0.00115224,0.00214649,-0.00026848,5.952118392,0.970215017,2.40E-08,-4.75E-09,,,Lac,1,111893,,2558585.887,GL,8.907,8.757
87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-0.00000591,0.0001204,0.00007888,4.702826032,0.081915079,-3.87E-06,5.01E-05,,,Oph,1,87665,,0.000442588,V2500,9.59,9.49
62239,62434,111123,4853,,Bet Cru,Becrux,12.795359,-59.688764,85.3971,-48.24,-12.82,16,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.349817027,-1.04176545,-2.34E-07,-6.22E-08,Bet,,Cru,1,62239,,2008.167804,Bet,1.267,1.237
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651834,0.11082321,-4.24E-08,-6.44E-08,Gam,24,Ori,1,25273,,1152.391377,,,
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.549729118,0.129277632,1.33E-07,5.27E-08,Alp,58,Ori,1,27919,,13415.28798,Alp,0.571,0.281
95992,96295,184738,,,,Campbell's Hydrogen Star,19.579231,30.516371,100000,-4.16,-10.19,-30.4,10,-10,WC...,-0.013,34611.2841,-78889.8449,50778.45341,-0.00084972,-0.00308271,-0.00427137,5.125830766,0.532611152,-2.02E-08,-4.94E-08,,,Cyg,1,95992,,870963.59,V1966,10.048,9.938
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.675305352,-0.919712775,9.69E-08,1.15E-07,Alp,,Car,1,30365,,13854.79168,,-0.547,-0.667
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816413,0.802816393,3.66E-07,-2.07E-06,Alp,13,Aur,1,24549,Gl 194,139.3156803,,,
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025853,1.032358404,2.54E-06,-8.75E-07,Bet,11,Cas,1,744,,30.06076303,Bet,2.303,2.263
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.98355827,0.556555413,-1.00E-06,-7.18E-07,Alp,66,Gem,1,36744,Gl 278,49.4310687,,,
86475,86742,161096,6603,,60Bet Oph,Cebalrai,17.724543,4.567303,25.0941,-40.67,158.8,-12,2.76,0.762,K2III,1.168,-1.802333,-24.949291,1.998237,-0.00000394,0.00001409,0.00001828,4.640274383,0.079714471,-1.97E-07,7.70E-07,Bet,60,Oph,1,86475,,43.17178445,,,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.247437951,1.059707029,1.24E-07,-1.85E-08,Gam,27,Cas,1,4417,,3407.218617,Gam,2.173,2.133
62925,63125,112413,4915,,12Alp2CVn,Cor Caroli,12.933807,38.31838,35.1989,-233.43,54.98,-3,2.89,0.157,A0spe...,-0.115,-26.795114,-6.684223,21.824384,-0.00000166,0.00004064,0.00000546,3.386062718,0.66878189,-1.13E-06,2.67E-07,Alp-2,12,CVn,1,62925,,75.37025767,Alp-2,2.943,2.863
23820,23875,33111,1666,Wo 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.78,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.343247953,-0.088775232,-4.04E-07,-3.66E-07,Bet,67,Eri,1,23820,,50.53589948,,,
97987,98298,226868,,,,Cygnus X-1,19.972688,35.201604,595.2381,-3.82,-7.62,-2.7,8.84,-0.033,B0Ib,0.73,240.17499,-422.950898,343.12808,-0.00000444,-0.0000145,-0.00001956,5.228837433,0.614383894,-1.85E-08,-3.69E-08,,,Cyg,1,97987,,89.78421709,V1357,8.883,8.793
101767,102098,197345,7924,,50Alp Cyg,Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.416768542,0.790290983,7.56E-09,7.51E-09,Alp,50,Cyg,1,101767,,51617.86055,Alp,1.294,1.224
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856966,0.25433043,-2.42E-06,-5.52E-07,Bet,94,Leo,1,57459,,14.68249968,,,
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.190194642,-0.31392547,1.13E-06,1.59E-07,Bet,16,Cet,1,3413,,116.091387,,,
